key,batt_percentage,firmware,mic0,mic1,mic2,mic3,mic4,mic5,mic6,mic7,mic8,mic9,mic10,mic11,mic12,mic13,mic14,mic15,mic16,mic17,mic18,mic19,mic20,mic21,mic22,mic23,mic24,mic25,mic26,mic27,mic28,mic29,mic30,mic31,accelx0,accelx1,accelx2,accelx3,accelx4,accelx5,accelx6,accelx7,accelx8,accelx9,accelx10,accelx11,accelx12,accelx13,accelx14,accelx15,accelx16,accelx17,accelx18,accelx19,accelx20,accelx21,accelx22,accelx23,accelx24,accelx25,accelx26,accelx27,accelx28,accelx29,accelx30,accelx31,accely0,accely1,accely2,accely3,accely4,accely5,accely6,accely7,accely8,accely9,accely10,accely11,accely12,accely13,accely14,accely15,accely16,accely17,accely18,accely19,accely20,accely21,accely22,accely23,accely24,accely25,accely26,accely27,accely28,accely29,accely30,accely31,label,timestamp
/wsn1/tsi/0013a2004199054b,92.4364805697141,0.7.0,0,3,28,140,85,18,20,70,74,54,112,104,130,777,333,194,156,263,1582,1559,527,373,727,412,501,387,197,158,180,234,115,155,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-04 15:21:53.397
/wsn1/tsi/0013a2004199054b,92.4364805697141,0.7.0,0,1,5,3,3,2,1,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,20,5,11,143,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-04 18:22:41.041
/wsn1/tsi/0013a2004199054b,92.4364805697141,0.7.0,4,26,36,63,63,57,80,90,93,66,110,133,215,1117,319,215,156,197,2004,1810,590,477,901,417,440,224,163,135,146,179,99,152,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-04 21:23:27.919
/wsn1/tsi/0013a2004199054b,92.4364805697141,0.7.0,5,30,55,33,31,66,61,109,57,62,93,99,101,542,241,156,147,313,2102,2150,511,358,694,424,448,256,183,164,166,201,108,153,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 00:24:14.755
/wsn1/tsi/0013a2004199054b,92.3508401619139,0.7.0,7,40,55,120,71,47,67,50,62,59,104,107,214,833,389,212,154,322,2059,1991,637,388,883,468,511,334,209,170,192,220,112,140,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 03:25:02.709
/wsn1/tsi/0013a2004199054b,92.3508401619139,0.7.0,3,19,44,75,58,58,100,110,84,66,103,83,137,723,283,274,161,294,1788,1784,522,394,919,399,461,318,209,174,184,238,123,155,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 06:25:51.602
/wsn1/tsi/0013a2004199054b,92.3508401619139,0.7.0,6,34,66,43,93,74,83,61,47,29,75,135,147,1041,454,158,157,406,1826,1745,711,421,792,472,464,368,209,163,195,259,125,147,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 09:26:38.414
/wsn1/tsi/0013a2004199054b,92.3508401619139,0.7.0,2,9,24,47,42,82,40,102,109,76,121,163,167,413,231,218,168,448,1886,1939,718,552,883,438,572,312,223,179,194,240,118,139,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 12:27:26.103
/wsn1/tsi/0013a2004199054b,92.5218593860669,0.7.0,7,38,53,33,59,109,72,43,55,37,95,164,155,826,318,174,165,266,1964,1630,519,388,698,384,485,268,177,160,164,217,114,175,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 15:28:13.119
/wsn1/tsi/0013a2004199054b,92.4364805697141,0.7.0,6,31,36,77,56,49,41,66,69,65,113,123,145,556,302,194,184,442,1878,1437,790,413,685,479,511,260,147,141,150,212,102,151,5000,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5062,5063,0,2020-03-05 18:29:00.114
